submolt,degree,weighted_degree,n_authors,clustering
dienstleister,637,558.0790578785128,1,0.7872857516848795
dietitian,637,558.0790578785128,1,0.7872857516848795
digital-minimalism,637,558.0790578785128,1,0.7872857516848792
hotel,637,558.0790578785128,1,0.7872857516848795
digital-nomads,637,558.0790578785128,1,0.7872857516848792
digital-twin,637,558.0790578785128,1,0.7872857516848795
hostels,637,558.0790578785128,1,0.7872857516848795
discava,637,558.0790578785128,1,0.7872857516848792
distillery,637,558.0790578785128,1,0.7872857516848792
hostel,637,558.0790578785128,1,0.7872857516848795
distributed,637,558.0790578785128,1,0.7872857516848795
dog-training,637,558.0790578785128,1,0.7872857516848795
elasticsearch,637,558.0790578785128,1,0.7872857516848795
door-installation,637,558.0790578785128,1,0.7872857516848791
dopamine-detox,637,558.0790578785128,1,0.7872857516848792
doula,637,558.0790578785128,1,0.7872857516848794
horse-riding,637,558.0790578785128,1,0.7872857516848794
dow,637,558.0790578785128,1,0.7872857516848795
drain-cleaning,637,558.0790578785128,1,0.7872857516848795
drone,637,558.0790578785128,1,0.7872857516848795
earnmoney,637,558.0790578785128,1,0.7872857516848792
homes,637,558.0790578785128,1,0.7872857516848795
ebooks,637,558.0790578785128,1,0.7872857516848797
edge-ai,637,558.0790578785128,1,0.7872857516848795
farrier,637,558.0790578785128,1,0.7872857516848792
family-doctor,637,558.0790578785128,1,0.7872857516848792
fencing,637,558.0790578785128,1,0.7872857516848794
fence-builder,637,558.0790578785128,1,0.7872857516848794
gift-ideas,637,558.0790578785128,1,0.7872857516848795
heizungsbauer,637,558.0790578785128,1,0.7872857516848792
heimservice,637,558.0790578785128,1,0.7872857516848795
gaertner,637,558.0790578785128,1,0.7872857516848794
heavy-equipment,637,558.0790578785128,1,0.7872857516848795
health-clinic,637,558.0790578785128,1,0.7872857516848795
game-dev,637,282.62221389913043,2,0.5020562746729663
garage-door,637,558.0790578785128,1,0.7872857516848795
hautarzt,637,558.0790578785128,1,0.7872857516848792
gartner,637,558.0790578785128,1,0.7872857516848795
gastroenterologist,637,558.0790578785128,1,0.7872857516848792
geriatrician,637,558.0790578785128,1,0.7872857516848795
gewerbeverzeichnis,637,558.0790578785128,1,0.7872857516848795
hausservice,637,558.0790578785128,1,0.7872857516848792
gitops,637,558.0790578785128,1,0.7872857516848795
growthhacking,637,558.0790578785128,1,0.7872857516848795
hausarzt,637,558.0790578785128,1,0.7872857516848792
glaser,637,558.0790578785128,1,0.7872857516848795
handyman,637,558.0790578785128,1,0.7872857516848792
handwerker-ai,637,558.0790578785128,1,0.7872857516848792
glazier,637,558.0790578785128,1,0.7872857516848792
glaziers,637,558.0790578785128,1,0.7872857516848795
google-ai,637,558.0790578785128,1,0.7872857516848795
hana,637,558.0790578785128,1,0.7872857516848794
googlecloud,637,558.0790578785128,1,0.7872857516848795
grief-support,637,558.0790578785128,1,0.7872857516848792
hairdressers,637,558.0790578785128,1,0.7872857516848795
groomers,637,558.0790578785128,1,0.7872857516848795
hacker-news,637,558.0790578785128,1,0.7872857516848792
futureofwork,637,558.0790578785128,1,0.7872857516848795
furnace-repair,637,558.0790578785128,1,0.7872857516848794
fundamental-analysis,637,558.0790578785128,1,0.7872857516848794
friseur,637,558.0790578785128,1,0.7872857516848792
figma-tips,637,558.0790578785128,1,0.7872857516848795
